,name_scrapped,id,link_spotify,followers,generos,imagenes,popularidad,nombre_en_spotify,type_of_artist,lugar_extraido,index_on_last_dataset
487,Mariachi Huasteca de Manizales,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,488
488,Royal Class,<built-in function id>,https://open.spotify.com/artist/1FKmmjU9MEjs4lQCH51dFh,1,[],[],0,ROYAL CLASS,<class 'type'>,simus,489
489,GRUPO HERENCIAS,<built-in function id>,https://open.spotify.com/artist/1Ev5LruiGxkeS4nzoaVwc7,288,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb2583600dd1000dffc3b73b2c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051742583600dd1000dffc3b73b2c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1782583600dd1000dffc3b73b2c', 'width': 160}]",24,Grupo Herencia,<class 'type'>,simus,490
490,Bandas Musicales Especiales Estudiantiles de Soacha,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,491
491,ENSAMBLE DE CUERDAS PULSADAS DEL MUNICIPIO DE SOACHA,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,492
492,BANDA DE VIENTOS INSTITUCION EDUCATIVA SANTA MARTHA,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,493
493,NUROCK Group Colombia,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,494
494,Colectivo Musikpro,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,495
495,Los Rolling Ruanas ,<built-in function id>,https://open.spotify.com/artist/1XPFAsXCMflKBKZuNIkru3,21989,"['colombian indie', 'colombian rock', 'folclor colombiano']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc7d2cddde5bf2208b0307f71', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c7d2cddde5bf2208b0307f71', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c7d2cddde5bf2208b0307f71', 'width': 160}]",30,Los Rolling Ruanas,<class 'type'>,simus,496
496,CORAZÓN SANTANDEREANO,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,497
497,CORO ANGELLUS IEC MISERICORDIAS,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,498
498,CORO CELESTA,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,499
499,AGRUPACION CORAL SUASI,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,500
500,Banda Municipal Nueva Generación ,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,501
501,Vingus Band,<built-in function id>,https://open.spotify.com/artist/0MidJ7i6FE9WFzj68UiQOT,68,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd9f27617a71fce7c43801ad0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d9f27617a71fce7c43801ad0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d9f27617a71fce7c43801ad0', 'width': 160}]",0,Vingus Band,<class 'type'>,simus,502
502,Estudiantina San Antonio,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,503
503,Alibombo,<built-in function id>,https://open.spotify.com/artist/5IVKPpHlA06SosiLNlVsmf,265,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4d9171d459acf06ca6761b38', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744d9171d459acf06ca6761b38', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784d9171d459acf06ca6761b38', 'width': 160}]",1,Alibombo,<class 'type'>,simus,504
504,Harbey Urueña - Grupo,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,505
505,Irissintética ,<built-in function id>,https://open.spotify.com/artist/2uK4An30aCnY24iubQKJNj,39,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe79f9e5e17b215aefac31434', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e79f9e5e17b215aefac31434', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e79f9e5e17b215aefac31434', 'width': 160}]",2,irissintetica,<class 'type'>,simus,506
506,Mitú,<built-in function id>,https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK,1612812,"['brooklyn indie', 'indie pop']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174afb309e27fdb45e093958f9c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178afb309e27fdb45e093958f9c', 'width': 160}]",82,Mitski,<class 'type'>,simus,507
507,Meridian Brothers,<built-in function id>,https://open.spotify.com/artist/08Y6RNx87Eolrcq1aLM6ow,24971,"['latin afrobeat', 'latintronica']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc65e0c9ca265c3404f0147f2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c65e0c9ca265c3404f0147f2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c65e0c9ca265c3404f0147f2', 'width': 160}]",39,Meridian Brothers,<class 'type'>,simus,508
508,La Perla,<built-in function id>,https://open.spotify.com/artist/1CJIcvG0AwRBiclbftNcDp,8439,['tropical alternativo'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb55d3d784e78d94aa09542ecd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517455d3d784e78d94aa09542ecd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17855d3d784e78d94aa09542ecd', 'width': 160}]",41,La Perla,<class 'type'>,simus,509
509,Orquesta colombiana de bandolas,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,510
510,Litoral Ensamble,<built-in function id>,https://open.spotify.com/artist/3dd3AaOW5bOpzvNlhNRnDw,0,[],[],0,Litoral Ensamble,<class 'type'>,simus,511
511,Orquesta Barroca de Bogotá,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,512
512,Sexteto Gamerano y el Legado de Magín Díaz,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,513
