,name,lugar_extraido
59,Aztek Escobar,pagina_artistas_famosos
60,Charlie Zaa,pagina_artistas_famosos
61,Colacho Mendoza,pagina_artistas_famosos
62,Mateo Carvajal,pagina_artistas_famosos
63,Alejo Durán,pagina_artistas_famosos
64,Cholo Valderrama,pagina_artistas_famosos
65,Pablo Borbón,pagina_artistas_famosos
66,Robin del Castillo,pagina_artistas_famosos
67,Pablo Mejia Bermudez,pagina_artistas_famosos
68,Juan David M. Castaño,pagina_artistas_famosos
69,Juancho De la Espriella,pagina_artistas_famosos
70,Itagui Correa,pagina_artistas_famosos
71,Jairo Varela,pagina_artistas_famosos
72,Lucas Arnau,pagina_artistas_famosos
73,Meli Carabali,pagina_artistas_famosos
74,Billy Pontoni,pagina_artistas_famosos
75,Dann Visbal,pagina_artistas_famosos
76,Checo Acosta,pagina_artistas_famosos
77,Alberto Barros,pagina_artistas_famosos
78,Dionisio Yepes,pagina_artistas_famosos
79,Rafael Puyana,pagina_artistas_famosos
80,Tache,pagina_artistas_famosos
81,Jota,pagina_artistas_famosos
82,Santiago Cruz,pagina_artistas_famosos
83,Juan Garcia-Herreros,pagina_artistas_famosos
84,Nicolás Hernández,pagina_artistas_famosos
85,Manuel Antonio García,pagina_artistas_famosos
86,Pipe Bueno,pagina_artistas_famosos
87,Javier Vinasco,pagina_artistas_famosos
88,Paula Zuleta,pagina_artistas_famosos
89,Gustavo Santander,pagina_artistas_famosos
90,Javier Delgado,pagina_artistas_famosos
91,Gustavo Quintero,pagina_artistas_famosos
92,Lelo,pagina_artistas_famosos
93,Pacho Galan,pagina_artistas_famosos
94,Carolina Herrera,pagina_artistas_famosos
95,Leonor Gonzalez Mina,pagina_artistas_famosos
96,Margarita Vargas,pagina_artistas_famosos
97,Juan David Huertas Clavijo,pagina_artistas_famosos
98,Jairo Herrera,pagina_artistas_famosos
99,Juan Fernández,pagina_artistas_famosos
100,Gabriel Torregrosa,pagina_artistas_famosos
101,Rafael Rodríguez,pagina_artistas_famosos
102,Fredys Arrieta,pagina_artistas_famosos
103,Alejandro Palacio,pagina_artistas_famosos
104,David Escobar Gallego,pagina_artistas_famosos
105,8bm - 8bits Memory,bomm
106,Ácido Pantera,bomm
107,Afro Legends,bomm
108,Agrupación Guarura,bomm
109,Aka Rezzo,bomm
110,Alea,bomm
111,Alejandro Zuluaga Machado,bomm
112,Alessandro D,bomm
113,Alma Negra,bomm
114,Alto Grado,bomm
115,"Amín Castellanos ""el Catire""",bomm
116,Anatómico,bomm
117,Ancestral Beats,bomm
118,Andy Palabras,bomm
119,Ángela Pico,bomm
120,Angelica Nor,bomm
121,Anna Zechini,bomm
122,Antonio Arnedo y Sam Farley,bomm
123,Apache,bomm
124,APOLO7,bomm
125,Armenia,bomm
126,Blackie & Lois,bomm
127,Blackmulatto,bomm
128,Blees,bomm
129,Boca De Serpiente,bomm
130,Böjo,bomm
131,Boybek,bomm
132,Brina Quoya,bomm
133,BUHA 2030,bomm
134,Buha 2030,bomm
135,Burning Caravan,bomm
136,Cafeto Blues,bomm
137,Anna Zechini,bomm
138,Antonio Arnedo y Sam Farley,bomm
139,Apache,bomm
140,APOLO7,bomm
141,Armenia,bomm
142,Blackie & Lois,bomm
143,Blackmulatto,bomm
144,Blees,bomm
145,Boca De Serpiente,bomm
146,Böjo,bomm
147,Boybek,bomm
148,Brina Quoya,bomm
149,BUHA 2030,bomm
150,Buha 2030,bomm
151,Burning Caravan,bomm
152,Cafeto Blues,bomm
153,Anna Zechini,bomm
154,Antonio Arnedo y Sam Farley,bomm
155,Apache,bomm
156,,bomm
157,Armenia,bomm
158,Blackie & Lois,bomm
159,Blackmulatto,bomm
160,Blees,bomm
161,Boca De Serpiente,bomm
162,Böjo,bomm
163,Boybek,bomm
164,Brina Quoya,bomm
165,BUHA 2030,bomm
166,Buha 2030,bomm
167,Burning Caravan,bomm
168,Cafeto Blues,bomm
169,Camargo,bomm
170,Caravanchela,bomm
171,Carlos Elliot,bomm
172,Catalina Avila,bomm
173,César Avila,bomm
174,Chalupa Travel,bomm
175,Chelo La Cabra,bomm
176,Chontadelia,bomm
177,Cimarrón,bomm
178,Cínico Lesivo,bomm
179,Coco Mano,bomm
180,Conjuro Epileptico,bomm
181,Cosmofónica,bomm
182,Da Five Pri,bomm
183,Daniel Castillo,bomm
184,Daniel Dussan,bomm
185,Danta,bomm
186,David Acuña,bomm
187,David Ordoñez,bomm
188,Dawer X Damper,bomm
189,DAWER X DAMPER,bomm
190,Dbisontes,bomm
191,De Bruces A Mí,bomm
192,Demarchi,bomm
193,Dennis Fernando,bomm
194,Denuedo,bomm
195,Desierto Sonora,bomm
196,Diana Burco,bomm
197,Dino Manuelle,bomm
198,Discordia,bomm
199,Dj Km1kc,bomm
200,Dosis Margarita,bomm
201,Dr Honey,bomm
202,Duo Alcaravan,bomm
203,Duplat,bomm
204,Ed Keziah,bomm
205,Eduardo Kouneli,bomm
206,Ekhymosis,bomm
207,El Clan Del Solar,bomm
208,El Cuatro,bomm
209,El Kalvo,bomm
210,El Sacro,bomm
211,El Tuyero Ilustrado,bomm
212,El Yopo,bomm
213,Elorik,bomm
214,En Vela,bomm
215,Enneatype,bomm
216,Ensamble Baquiano,bomm
217,Espiral7,bomm
218,Estación Caribe,bomm
219,Esteban Mick,bomm
220,F15,bomm
221,Federico Franco,bomm
222,Ferales,bomm
223,Fialo,bomm
224,Frank Takuma,bomm
225,Free Stayla,bomm
226,Fruko,bomm
227,Gamall,bomm
228,Gato Loko,bomm
229,Gavilla Changoreta,bomm
230,Ghetto Kumbé,bomm
231,Gletcher,bomm
232,Gordos Project,bomm
233,Gregorio Uribe,bomm
234,Grupo Mi Raza,bomm
235,Haffid,bomm
236,Harbey Urueña / Grupo,bomm
