artist_id,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0EmeFodog0BfCgMzAIvKQp,5clmffOxeckeJ2e3GMy6UZ,54,0.785,0.785,9,-3.621,1,0.0325,0.532,0.0,0.333,0.9,123.977,196467,4
0EmeFodog0BfCgMzAIvKQp,0pODBg7sqH5MStm6NkbTwh,21,0.856,0.763,8,-3.986,1,0.113,0.308,1.78e-05,0.0676,0.871,113.979,207147,4
0EmeFodog0BfCgMzAIvKQp,4lbUTqZIk42k2R6upLKAu6,34,0.66,0.329,6,-11.671,1,0.0327,0.465,0.0,0.119,0.276,115.993,261733,4
0EmeFodog0BfCgMzAIvKQp,1HR4j4MPhXLoHcVr2IJmLX,34,0.618,0.718,6,-6.532,1,0.0638,0.433,7.22e-06,0.747,0.244,93.963,329893,4
0EmeFodog0BfCgMzAIvKQp,5BSclXJTa9B0iURhUjZo50,73,0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,212893,4
0EmeFodog0BfCgMzAIvKQp,2QImvkv9KOAqbq6U7V82Y9,15,0.774,0.859,9,-9.84,0,0.0462,0.028,0.071,0.141,0.679,121.599,401480,4
0EmeFodog0BfCgMzAIvKQp,0QC3o3myQ0tcJgvEcSnG9U,27,0.843,0.736,5,-6.324,0,0.0685,0.464,0.0,0.119,0.658,115.971,183587,4
0EmeFodog0BfCgMzAIvKQp,2wPJO6THLVIsVzgcrXYPFR,28,0.858,0.803,5,-4.482,0,0.0812,0.392,0.0,0.0881,0.721,137.984,264440,4
0EmeFodog0BfCgMzAIvKQp,3DjXu9jBpV5lPbhHQVyPQd,55,0.688,0.917,2,-7.449,1,0.0314,0.0185,0.00241,0.0712,0.788,123.873,230800,4
0EmeFodog0BfCgMzAIvKQp,1X7uS4Zwc10OAUbShjd9Dr,44,0.664,0.538,0,-9.698,1,0.0375,0.656,0.0,0.916,0.454,109.293,232667,4
